Date,Description,Amount,Transaction_Type,Category,Account_Name,Seasons
11/9/2018,Spotify,10.69,debit,Music,Platinum Card,Fall
11/10/2018,Brewing Company,27.0,debit,Alcohol & Bars,Platinum Card,Fall
11/10/2018,Chick-Fil-A,14.19,debit,Fast Food,Platinum Card,Fall
11/10/2018,Food Truck,24.4,debit,Groceries,Platinum Card,Fall
11/12/2018,Grocery Store,10.18,debit,Groceries,Platinum Card,Fall
11/12/2018,American Tavern,22.33,debit,Restaurants,Silver Card,Fall
11/13/2018,Grocery Store,4.8,debit,Groceries,Platinum Card,Fall
11/13/2018,Grocery Store,37.43,debit,Groceries,Platinum Card,Fall
11/13/2018,Grocery Store,10.15,debit,Groceries,Platinum Card,Fall
11/13/2018,Phone Company,89.54,debit,Mobile Phone,Checking,Fall
11/14/2018,Power Company,60.0,debit,Utilities,Checking,Fall
11/16/2018,City Water Charges,35.0,debit,Utilities,Checking,Fall
11/17/2018,Brewing Company,22.8,debit,Alcohol & Bars,Platinum Card,Fall
11/17/2018,Hardware Store,15.47,debit,Home Improvement,Platinum Card,Fall
11/17/2018,Hardware Store,6.4,debit,Home Improvement,Platinum Card,Fall
11/17/2018,Greek Restaurant,23.26,debit,Restaurants,Platinum Card,Fall
11/19/2018,Brewing Company,20.0,debit,Alcohol & Bars,Silver Card,Fall
11/19/2018,QuikTrip,29.15,debit,Gas & Fuel,Silver Card,Fall
11/19/2018,Hardware Store,10.02,debit,Home Improvement,Silver Card,Fall
11/20/2018,State Farm,75.0,debit,Auto Insurance,Checking,Fall
11/21/2018,Grocery Store,5.64,debit,Groceries,Silver Card,Fall
11/21/2018,Hardware Store,37.41,debit,Home Improvement,Platinum Card,Fall
11/26/2018,American Tavern,16.8,debit,Alcohol & Bars,Silver Card,Fall
11/26/2018,Internet Service Provider,74.99,debit,Internet,Checking,Fall
11/27/2018,Movie Theater,17.0,debit,Movies & DVDs,Silver Card,Fall
11/27/2018,American Tavern,28.4,debit,Restaurants,Silver Card,Fall
11/30/2018,Grocery Store,6.27,debit,Groceries,Silver Card,Fall
12/1/2018,Grocery Store,5.64,debit,Groceries,Silver Card,Fall
12/1/2018,Brunch Restaurant,8.0,debit,Restaurants,Silver Card,Fall
12/1/2018,Amazon,13.13,debit,Shopping,Platinum Card,Fall
12/3/2018,BP,30.03,debit,Gas & Fuel,Silver Card,Fall
12/3/2018,Grocery Store,148.15,debit,Groceries,Silver Card,Fall
12/3/2018,Mortgage Payment,1209.18,debit,Mortgage & Rent,Checking,Fall
12/4/2018,Starbucks,3.0,debit,Coffee Shops,Silver Card,Fall
12/4/2018,Latin Restaurant,20.65,debit,Fast Food,Platinum Card,Fall
12/4/2018,Netflix,11.76,debit,Movies & DVDs,Platinum Card,Fall
12/6/2018,Grocery Store,21.38,debit,Groceries,Platinum Card,Fall
12/6/2018,Grocery Store,13.48,debit,Groceries,Platinum Card,Fall
12/6/2018,Gas Company,40.0,debit,Utilities,Checking,Fall
12/7/2018,Barbershop,30.0,debit,Haircut,Platinum Card,Fall
12/8/2018,Grocery Store,12.64,debit,Groceries,Platinum Card,Fall
12/9/2018,Spotify,10.69,debit,Music,Platinum Card,Fall
12/11/2018,Brunch Restaurant,10.29,debit,Restaurants,Platinum Card,Fall
12/12/2018,Phone Company,89.54,debit,Mobile Phone,Checking,Fall
12/13/2018,Thai Restaurant,27.0,debit,Restaurants,Silver Card,Fall
12/14/2018,Grocery Store,21.39,debit,Groceries,Silver Card,Fall
12/14/2018,Hardware Store,17.1,debit,Home Improvement,Silver Card,Fall
12/14/2018,Power Company,60.0,debit,Utilities,Checking,Fall
12/17/2018,American Tavern,63.0,debit,Food & Dining,Silver Card,Fall
12/17/2018,BP,20.01,debit,Gas & Fuel,Silver Card,Fall
12/17/2018,City Water Charges,35.0,debit,Utilities,Checking,Fall
12/18/2018,Starbucks,3.0,debit,Coffee Shops,Silver Card,Fall
12/18/2018,Fancy Restaurant,56.52,debit,Restaurants,Silver Card,Fall
12/18/2018,Amazon,49.99,debit,Shopping,Platinum Card,Fall
12/18/2018,Amazon,41.72,debit,Shopping,Platinum Card,Fall
12/18/2018,Amazon,24.3,debit,Shopping,Platinum Card,Fall
12/19/2018,State Farm,75.0,debit,Auto Insurance,Checking,Fall
12/19/2018,Amazon,43.01,debit,Shopping,Platinum Card,Fall
12/20/2018,Shell,30.38,debit,Gas & Fuel,Silver Card,Fall
12/22/2018,New York Deli,21.38,debit,Fast Food,Platinum Card,Fall
12/22/2018,Hardware Store,22.14,debit,Home Improvement,Platinum Card,Fall
12/23/2018,Hardware Store,28.0,debit,Home Improvement,Platinum Card,Fall
12/24/2018,Hardware Store,38.4,debit,Home Improvement,Platinum Card,Fall
12/26/2018,Chick-Fil-A,56.07,debit,Fast Food,Platinum Card,Fall
12/26/2018,Shell,32.47,debit,Gas & Fuel,Platinum Card,Fall
12/26/2018,Shell,7.48,debit,Gas & Fuel,Platinum Card,Fall
12/26/2018,Internet Service Provider,75.99,debit,Internet,Checking,Fall
12/26/2018,Amazon,44.99,debit,Shopping,Platinum Card,Fall
12/28/2018,Brewing Company,12.0,debit,Alcohol & Bars,Silver Card,Fall
12/29/2018,Brewing Company,14.0,debit,Alcohol & Bars,Silver Card,Fall
12/29/2018,Grocery Store,55.04,debit,Groceries,Silver Card,Fall
1/1/2019,Amazon,13.09,debit,Shopping,Platinum Card,Winter
1/3/2019,Mortgage Payment,1100.0,debit,Mortgage & Rent,Checking,Winter
1/3/2019,Amazon,42.1,debit,Shopping,Platinum Card,Winter
1/5/2019,American Tavern,23.49,debit,Restaurants,Platinum Card,Winter
1/8/2019,Gas Company,45.0,debit,Utilities,Checking,Winter
1/9/2019,Spotify,10.69,debit,Music,Platinum Card,Winter
1/10/2019,Grocery Store,58.79,debit,Groceries,Silver Card,Winter
1/10/2019,Barbershop,30.0,debit,Haircut,Silver Card,Winter
1/10/2019,Phone Company,65.0,debit,Mobile Phone,Checking,Winter
1/14/2019,Shell,28.92,debit,Gas & Fuel,Silver Card,Winter
1/15/2019,Grocery Store,6.06,debit,Groceries,Silver Card,Winter
1/16/2019,City Water Charges,35.0,debit,Utilities,Checking,Winter
1/16/2019,Power Company,60.0,debit,Utilities,Checking,Winter
1/18/2019,State Farm,75.0,debit,Auto Insurance,Checking,Winter
1/24/2019,Grocery Store,21.06,debit,Groceries,Silver Card,Winter
1/24/2019,Amazon,11.7,debit,Shopping,Platinum Card,Winter
1/24/2019,Amazon,4.21,debit,Shopping,Platinum Card,Winter
1/25/2019,Internet Service Provider,75.0,debit,Internet,Checking,Winter
1/31/2019,Shell,31.32,debit,Gas & Fuel,Silver Card,Winter
2/1/2019,Roadside Diner,9.47,debit,Restaurants,Silver Card,Winter
2/1/2019,Amazon,13.09,debit,Shopping,Platinum Card,Winter
2/4/2019,Hardware Store,86.97,debit,Home Improvement,Silver Card,Winter
2/4/2019,Netflix,11.76,debit,Television,Platinum Card,Winter
2/5/2019,Mortgage Payment,1100.0,debit,Mortgage & Rent,Checking,Winter
2/7/2019,Gas Company,65.0,debit,Utilities,Checking,Winter
2/8/2019,Starbucks,3.0,debit,Coffee Shops,Platinum Card,Winter
2/8/2019,Thai Restaurant,27.47,debit,Restaurants,Platinum Card,Winter
2/9/2019,Spotify,10.69,debit,Music,Platinum Card,Winter
2/11/2019,Starbucks,3.0,debit,Coffee Shops,Platinum Card,Winter
2/11/2019,BP,24.01,debit,Gas & Fuel,Platinum Card,Winter
2/12/2019,Grocery Store,30.54,debit,Groceries,Platinum Card,Winter
2/12/2019,Phone Company,65.0,debit,Mobile Phone,Checking,Winter
2/13/2019,Grocery Store,8.21,debit,Groceries,Platinum Card,Winter
2/15/2019,Grocery Store,4.59,debit,Groceries,Platinum Card,Winter
2/15/2019,Power Company,60.0,debit,Utilities,Checking,Winter
2/16/2019,Brewing Company,8.0,debit,Alcohol & Bars,Platinum Card,Winter
2/16/2019,American Tavern,32.75,debit,Restaurants,Platinum Card,Winter
2/16/2019,Amazon,37.45,debit,Shopping,Platinum Card,Winter
2/19/2019,City Water Charges,35.0,debit,Utilities,Checking,Winter
2/20/2019,State Farm,75.0,debit,Auto Insurance,Checking,Winter
2/20/2019,Barbershop,30.0,debit,Haircut,Platinum Card,Winter
2/21/2019,Grocery Store,46.96,debit,Groceries,Silver Card,Winter
2/25/2019,BP,33.8,debit,Gas & Fuel,Silver Card,Winter
2/25/2019,Internet Service Provider,75.0,debit,Internet,Checking,Winter
2/27/2019,Roadside Diner,25.77,debit,Restaurants,Silver Card,Winter
2/28/2019,Grocery Store,32.07,debit,Groceries,Silver Card,Winter
3/1/2019,Amazon,13.09,debit,Shopping,Platinum Card,Winter
3/4/2019,Grocery Store,92.04,debit,Groceries,Silver Card,Winter
3/4/2019,Mortgage Payment,1100.0,debit,Mortgage & Rent,Checking,Winter
3/4/2019,Netflix,11.76,debit,Television,Platinum Card,Winter
3/5/2019,Fancy Restaurant,7.0,debit,Restaurants,Silver Card,Winter
3/8/2019,BP,34.08,debit,Gas & Fuel,Platinum Card,Winter
3/8/2019,Amazon,27.17,debit,Shopping,Platinum Card,Winter
3/8/2019,Gas Company,49.0,debit,Utilities,Checking,Winter
3/9/2019,Spotify,10.69,debit,Music,Platinum Card,Winter
3/12/2019,Phone Company,65.0,debit,Mobile Phone,Checking,Winter
3/12/2019,Bakery Place,3.02,debit,Restaurants,Platinum Card,Winter
3/14/2019,Brunch Restaurant,8.0,debit,Restaurants,Platinum Card,Winter
3/15/2019,Power Company,60.0,debit,Utilities,Checking,Winter
3/18/2019,Best Buy,320.99,debit,Electronics & Software,Platinum Card,Winter
3/18/2019,Grocery Store,16.23,debit,Groceries,Platinum Card,Winter
3/19/2019,Amazon,13.84,debit,Shopping,Platinum Card,Winter
3/19/2019,City Water Charges,35.0,debit,Utilities,Checking,Winter
3/20/2019,State Farm,75.0,debit,Auto Insurance,Checking,Winter
3/22/2019,BP,37.51,debit,Gas & Fuel,Platinum Card,Winter
3/23/2019,Starbucks,5.2,debit,Coffee Shops,Platinum Card,Winter
3/25/2019,Internet Service Provider,75.0,debit,Internet,Checking,Winter
3/26/2019,Amazon,16.04,debit,Shopping,Platinum Card,Winter
3/27/2019,Brewing Company,49.63,debit,Alcohol & Bars,Platinum Card,Winter
3/27/2019,Grocery Store,4.46,debit,Groceries,Platinum Card,Winter
3/30/2019,Starbucks,12.84,debit,Coffee Shops,Platinum Card,Winter
4/1/2019,Amazon,13.09,debit,Shopping,Platinum Card,Spring
4/2/2019,Mortgage Payment,1100.0,debit,Mortgage & Rent,Checking,Spring
4/4/2019,Grocery Store,5.64,debit,Groceries,Platinum Card,Spring
4/4/2019,Amazon,35.9,debit,Shopping,Platinum Card,Spring
4/4/2019,Netflix,11.76,debit,Television,Platinum Card,Spring
4/6/2019,Amazon,27.54,debit,Shopping,Platinum Card,Spring
4/8/2019,Gas Company,30.0,debit,Utilities,Checking,Spring
4/9/2019,Grocery Store,10.7,debit,Groceries,Platinum Card,Spring
4/9/2019,Barbershop,30.0,debit,Haircut,Platinum Card,Spring
4/9/2019,Spotify,10.69,debit,Music,Platinum Card,Spring
4/10/2019,Phone Company,65.0,debit,Mobile Phone,Checking,Spring
4/12/2019,Best Buy,44.93,debit,Electronics & Software,Silver Card,Spring
4/12/2019,Grocery Store,41.34,debit,Groceries,Platinum Card,Spring
4/13/2019,QuikTrip,38.94,debit,Gas & Fuel,Platinum Card,Spring
4/13/2019,Grocery Store,16.87,debit,Groceries,Platinum Card,Spring
4/13/2019,Vietnamese Restaurant,20.64,debit,Restaurants,Platinum Card,Spring
4/15/2019,Power Company,60.0,debit,Utilities,Checking,Spring
4/16/2019,City Water Charges,35.0,debit,Utilities,Checking,Spring
4/18/2019,State Farm,75.0,debit,Auto Insurance,Checking,Spring
4/19/2019,Grocery Store,10.89,debit,Groceries,Platinum Card,Spring
4/22/2019,Brewing Company,14.4,debit,Alcohol & Bars,Silver Card,Spring
4/22/2019,Greek Restaurant,64.52,debit,Restaurants,Silver Card,Spring
4/23/2019,Hardware Store,29.56,debit,Home Improvement,Silver Card,Spring
4/25/2019,Internet Service Provider,75.0,debit,Internet,Checking,Spring
4/27/2019,Brewing Company,40.0,debit,Alcohol & Bars,Platinum Card,Spring
4/27/2019,American Tavern,14.74,debit,Restaurants,Silver Card,Spring
4/29/2019,Grocery Store,5.64,debit,Groceries,Platinum Card,Spring
4/30/2019,BP,39.08,debit,Gas & Fuel,Platinum Card,Spring
5/1/2019,Amazon,13.09,debit,Shopping,Platinum Card,Spring
5/2/2019,Mortgage Payment,1100.0,debit,Mortgage & Rent,Checking,Spring
5/4/2019,Netflix,13.9,debit,Television,Platinum Card,Spring
5/6/2019,Amazon,16.94,debit,Shopping,Platinum Card,Spring
5/7/2019,Amazon,38.56,debit,Shopping,Platinum Card,Spring
5/9/2019,Best Buy,331.69,debit,Electronics & Software,Platinum Card,Spring
5/9/2019,Spotify,10.69,debit,Music,Platinum Card,Spring
5/9/2019,Target,3.2,debit,Shopping,Platinum Card,Spring
5/9/2019,Gas Company,30.0,debit,Utilities,Checking,Spring
5/10/2019,Best Buy,21.39,debit,Electronics & Software,Silver Card,Spring
5/10/2019,Phone Company,65.0,debit,Mobile Phone,Checking,Spring
5/13/2019,QuikTrip,35.24,debit,Gas & Fuel,Silver Card,Spring
5/13/2019,Fancy Restaurant,98.19,debit,Restaurants,Silver Card,Spring
5/13/2019,Greek Restaurant,23.11,debit,Restaurants,Silver Card,Spring
5/14/2019,Grocery Store,2.02,debit,Groceries,Silver Card,Spring
5/15/2019,Power Company,60.0,debit,Utilities,Checking,Spring
5/17/2019,City Water Charges,35.0,debit,Utilities,Checking,Spring
5/20/2019,State Farm,75.0,debit,Auto Insurance,Checking,Spring
5/20/2019,American Tavern,32.53,debit,Restaurants,Silver Card,Spring
5/24/2019,Hardware Store,27.96,debit,Home Improvement,Platinum Card,Spring
5/24/2019,Brunch Restaurant,8.0,debit,Restaurants,Platinum Card,Spring
5/25/2019,QuikTrip,36.76,debit,Gas & Fuel,Platinum Card,Spring
5/25/2019,Hardware Store,30.99,debit,Home Improvement,Platinum Card,Spring
5/27/2019,Mexican Restaurant,34.33,debit,Restaurants,Platinum Card,Spring
5/30/2019,Internet Service Provider,75.0,debit,Internet,Checking,Spring
5/30/2019,American Tavern,34.82,debit,Restaurants,Platinum Card,Spring
6/1/2019,Amazon,13.09,debit,Shopping,Platinum Card,Spring
6/3/2019,Starbucks,2.75,debit,Coffee Shops,Platinum Card,Spring
6/3/2019,Mortgage Payment,1100.0,debit,Mortgage & Rent,Checking,Spring
6/4/2019,Barbershop,30.0,debit,Haircut,Platinum Card,Spring
6/4/2019,Netflix,13.9,debit,Television,Platinum Card,Spring
6/5/2019,Grocery Store,23.0,debit,Groceries,Platinum Card,Spring
6/5/2019,Mexican Restaurant,23.24,debit,Restaurants,Platinum Card,Spring
6/6/2019,Starbucks,3.75,debit,Coffee Shops,Platinum Card,Spring
6/6/2019,Grocery Store,5.64,debit,Groceries,Platinum Card,Spring
6/7/2019,Gas Company,30.0,debit,Utilities,Checking,Spring
6/9/2019,Spotify,10.69,debit,Music,Platinum Card,Spring
6/12/2019,Phone Company,65.0,debit,Mobile Phone,Checking,Spring
6/14/2019,Grocery Store,10.69,debit,Groceries,Silver Card,Spring
6/15/2019,BP,33.16,debit,Gas & Fuel,Silver Card,Spring
6/17/2019,City Water Charges,35.0,debit,Utilities,Checking,Spring
6/17/2019,Power Company,60.0,debit,Utilities,Checking,Spring
6/18/2019,Brewing Company,15.0,debit,Alcohol & Bars,Silver Card,Spring
6/18/2019,Shell,41.83,debit,Gas & Fuel,Silver Card,Spring
6/19/2019,State Farm,75.0,debit,Auto Insurance,Checking,Spring
6/20/2019,Mike's Construction Co.,9200.0,debit,Home Improvement,Checking,Spring
6/24/2019,Brewing Company,15.0,debit,Alcohol & Bars,Silver Card,Spring
6/28/2019,BP,30.64,debit,Gas & Fuel,Silver Card,Spring
6/30/2019,Internet Service Provider,75.0,debit,Internet,Checking,Spring
7/1/2019,Starbucks,7.0,debit,Coffee Shops,Silver Card,Summer
7/1/2019,Grocery Store,99.47,debit,Groceries,Silver Card,Summer
7/1/2019,Hawaiian Grill,24.97,debit,Restaurants,Silver Card,Summer
7/1/2019,Thai Restaurant,24.0,debit,Restaurants,Silver Card,Summer
7/1/2019,Amazon,13.09,debit,Shopping,Platinum Card,Summer
7/2/2019,Hardware Store,229.9,debit,Home Improvement,Platinum Card,Summer
7/2/2019,Mortgage Payment,1100.0,debit,Mortgage & Rent,Checking,Summer
7/4/2019,Netflix,13.9,debit,Television,Platinum Card,Summer
7/5/2019,Brewing Company,19.0,debit,Alcohol & Bars,Silver Card,Summer
7/6/2019,Grocery Store,92.98,debit,Groceries,Platinum Card,Summer
7/6/2019,Greek Restaurant,23.26,debit,Restaurants,Platinum Card,Summer
7/7/2019,Hardware Store,103.14,debit,Home Improvement,Platinum Card,Summer
7/9/2019,Spotify,10.69,debit,Music,Platinum Card,Summer
7/10/2019,Phone Company,65.0,debit,Mobile Phone,Checking,Summer
7/10/2019,Gas Company,30.0,debit,Utilities,Checking,Summer
7/15/2019,Grocery Store,87.14,debit,Groceries,Silver Card,Summer
7/16/2019,Amazon,89.99,debit,Shopping,Platinum Card,Summer
7/16/2019,Power Company,60.0,debit,Utilities,Checking,Summer
7/17/2019,City Water Charges,35.0,debit,Utilities,Checking,Summer
7/18/2019,State Farm,75.0,debit,Auto Insurance,Checking,Summer
7/18/2019,BP,36.42,debit,Gas & Fuel,Silver Card,Summer
7/18/2019,Grocery Store,29.83,debit,Groceries,Platinum Card,Summer
7/18/2019,Brunch Restaurant,8.82,debit,Restaurants,Platinum Card,Summer
7/19/2019,Mexican Restaurant,28.0,debit,Restaurants,Platinum Card,Summer
7/22/2019,Thai Restaurant,26.67,debit,Restaurants,Silver Card,Summer
7/24/2019,Starbucks,2.5,debit,Coffee Shops,Silver Card,Summer
7/27/2019,Barbershop,30.0,debit,Haircut,Silver Card,Summer
7/28/2019,Hardware Store,44.31,debit,Home Improvement,Platinum Card,Summer
7/29/2019,Grocery Store,5.35,debit,Groceries,Platinum Card,Summer
7/29/2019,Fancy Restaurant,44.92,debit,Restaurants,Silver Card,Summer
7/30/2019,Grocery Store,15.77,debit,Groceries,Platinum Card,Summer
7/30/2019,Internet Service Provider,75.0,debit,Internet,Checking,Summer
8/1/2019,Amazon,13.09,debit,Shopping,Platinum Card,Summer
8/2/2019,Mortgage Payment,1100.0,debit,Mortgage & Rent,Checking,Summer
8/3/2019,BP,36.36,debit,Gas & Fuel,Platinum Card,Summer
8/3/2019,Grocery Store,3.96,debit,Groceries,Platinum Card,Summer
8/3/2019,American Tavern,23.47,debit,Restaurants,Platinum Card,Summer
8/4/2019,Netflix,13.9,debit,Television,Platinum Card,Summer
8/5/2019,Brewing Company,18.0,debit,Alcohol & Bars,Silver Card,Summer
8/6/2019,Hardware Store,125.0,debit,Home Improvement,Checking,Summer
8/8/2019,Grocery Store,11.72,debit,Groceries,Silver Card,Summer
8/9/2019,Spotify,10.69,debit,Music,Platinum Card,Summer
8/9/2019,Gas Company,30.0,debit,Utilities,Checking,Summer
8/12/2019,Phone Company,65.0,debit,Mobile Phone,Checking,Summer
8/12/2019,Thai Restaurant,26.67,debit,Restaurants,Silver Card,Summer
8/14/2019,Starbucks,2.75,debit,Coffee Shops,Platinum Card,Summer
8/15/2019,Power Company,60.0,debit,Utilities,Checking,Summer
8/16/2019,City Water Charges,35.0,debit,Utilities,Checking,Summer
8/17/2019,Grocery Store,33.15,debit,Groceries,Platinum Card,Summer
8/17/2019,Barbershop,19.0,debit,Haircut,Platinum Card,Summer
8/17/2019,American Tavern,3.5,debit,Restaurants,Platinum Card,Summer
8/20/2019,State Farm,75.0,debit,Auto Insurance,Checking,Summer
8/20/2019,Starbucks,2.75,debit,Coffee Shops,Platinum Card,Summer
8/21/2019,Shell,34.69,debit,Gas & Fuel,Platinum Card,Summer
8/23/2019,Starbucks,2.75,debit,Coffee Shops,Platinum Card,Summer
8/25/2019,Brunch Restaurant,39.43,debit,Restaurants,Platinum Card,Summer
8/26/2019,Hardware Store,66.75,debit,Home Improvement,Silver Card,Summer
8/29/2019,Starbucks,3.0,debit,Coffee Shops,Platinum Card,Summer
8/30/2019,Starbucks,2.75,debit,Coffee Shops,Platinum Card,Summer
8/30/2019,Internet Service Provider,75.0,debit,Internet,Checking,Summer
8/31/2019,Hardware Store,68.04,debit,Home Improvement,Platinum Card,Summer
8/31/2019,BBQ Restaurant,41.78,debit,Restaurants,Silver Card,Summer
9/1/2019,Amazon,13.09,debit,Shopping,Platinum Card,Summer
9/3/2019,Mortgage Payment,1100.0,debit,Mortgage & Rent,Checking,Summer
9/3/2019,Fancy Restaurant,41.24,debit,Restaurants,Silver Card,Summer
9/4/2019,Netflix,13.9,debit,Television,Platinum Card,Summer
9/5/2019,Starbucks,3.75,debit,Coffee Shops,Platinum Card,Summer
9/7/2019,Brewing Company,12.87,debit,Alcohol & Bars,Platinum Card,Summer
9/8/2019,Brewing Company,19.3,debit,Alcohol & Bars,Platinum Card,Summer
9/9/2019,Shell,28.77,debit,Gas & Fuel,Platinum Card,Summer
9/9/2019,Grocery Store,65.09,debit,Groceries,Silver Card,Summer
9/9/2019,Hardware Store,26.25,debit,Home Improvement,Silver Card,Summer
9/9/2019,Spotify,10.69,debit,Music,Platinum Card,Summer
9/9/2019,Gas Company,30.0,debit,Utilities,Checking,Summer
9/11/2019,Phone Company,65.0,debit,Mobile Phone,Checking,Summer
9/13/2019,Starbucks,2.75,debit,Coffee Shops,Platinum Card,Summer
9/14/2019,Grocery Store,46.44,debit,Groceries,Platinum Card,Summer
9/15/2019,Amazon,47.66,debit,Shopping,Platinum Card,Summer
9/16/2019,City Water Charges,35.0,debit,Utilities,Checking,Summer
9/17/2019,Power Company,60.0,debit,Utilities,Checking,Summer
9/18/2019,State Farm,75.0,debit,Auto Insurance,Checking,Summer
9/19/2019,Brewing Company,40.81,debit,Alcohol & Bars,Platinum Card,Summer
9/19/2019,Starbucks,2.75,debit,Coffee Shops,Platinum Card,Summer
9/22/2019,Seafood Restaurant,131.1,debit,Restaurants,Platinum Card,Summer
9/23/2019,Grocery Store,27.71,debit,Groceries,Platinum Card,Summer
9/23/2019,Amazon,24.63,debit,Shopping,Platinum Card,Summer
9/28/2019,BP,33.46,debit,Gas & Fuel,Platinum Card,Summer
9/28/2019,Sheetz,4.27,debit,Gas & Fuel,Platinum Card,Summer
9/30/2019,Starbucks,1.75,debit,Coffee Shops,Platinum Card,Summer
9/30/2019,Internet Service Provider,75.0,debit,Internet,Checking,Summer
